,,, pm25, pm25, pm25
,,,min,max,mean
date,date,City,,,
2016,5,Juwol-Dong,35.0,150.0,78.03225806451613
2016,5,Nowon-Gu,27.0,164.0,75.90322580645162
2016,5,Pado-Ri,,,
2016,5,Seolseong-Myeon,,,
2016,6,Bangsan-Myeon,,,
2016,6,Geumchon-Dong,58.0,127.0,82.63333333333334
2016,6,Gwanak-Gu,62.0,140.0,91.96666666666667
2016,6,Jeongnim-Dong,34.0,85.0,60.96666666666667
2016,6,Jungang-Way,42.0,114.0,72.2
2016,6,Juwol-Dong,26.0,142.0,71.93333333333334
2016,6,Nowon-Gu,43.0,149.0,81.76666666666667
2016,6,Pado-Ri,,,
2016,6,Seolseong-Myeon,,,
2016,7,Bangsan-Myeon,,,
2016,7,Geumchon-Dong,26.0,93.0,65.96774193548387
2016,7,Gwanak-Gu,38.0,112.0,77.3225806451613
2016,7,Jeongnim-Dong,13.0,68.0,42.774193548387096
2016,7,Jungang-Way,15.0,96.0,57.16129032258065
2016,7,Juwol-Dong,13.0,99.0,49.74193548387097
2016,7,Nowon-Gu,15.0,124.0,68.03225806451613
2016,7,Pado-Ri,46.0,46.0,46.0
2016,7,Seolseong-Myeon,,,
2016,8,Bangsan-Myeon,,,
2016,8,Geumchon-Dong,34.0,127.0,74.08333333333333
2016,8,Gwanak-Gu,41.0,134.0,79.06451612903226
2016,8,Jeongnim-Dong,13.0,77.0,46.56666666666667
2016,8,Jungang-Way,21.0,85.0,50.225806451612904
2016,8,Juwol-Dong,16.0,102.0,66.09677419354838
2016,8,Nowon-Gu,9.0,117.0,61.903225806451616
2016,8,Pado-Ri,,,
2016,8,Seolseong-Myeon,,,
2016,9,Bangsan-Myeon,,,
2016,9,Geumchon-Dong,36.0,127.0,73.6
2016,9,Gwanak-Gu,35.0,137.0,80.3
2016,9,Jeongnim-Dong,17.0,88.0,49.8
2016,9,Jungang-Way,16.0,116.0,57.0
2016,9,Juwol-Dong,7.0,119.0,63.275862068965516
2016,9,Nowon-Gu,14.0,137.0,67.4
2016,9,Pado-Ri,,,
2016,9,Seolseong-Myeon,,,
2016,10,Bangsan-Myeon,,,
2016,10,Geumchon-Dong,37.0,122.0,77.64516129032258
2016,10,Gwanak-Gu,43.0,132.0,74.87096774193549
2016,10,Jeongnim-Dong,16.0,98.0,41.903225806451616
2016,10,Jungang-Way,24.0,140.0,60.806451612903224
2016,10,Juwol-Dong,22.0,115.0,52.275862068965516
2016,10,Nowon-Gu,17.0,132.0,61.310344827586206
2016,10,Pado-Ri,,,
2016,10,Seolseong-Myeon,,,
2016,11,Bangsan-Myeon,,,
2016,11,Geumchon-Dong,30.0,164.0,94.27272727272727
2016,11,Gwanak-Gu,55.0,140.0,91.26666666666667
2016,11,Jeongnim-Dong,26.0,118.0,63.666666666666664
2016,11,Jungang-Way,48.0,145.0,101.21428571428571
2016,11,Juwol-Dong,30.0,138.0,78.7
2016,11,Nowon-Gu,39.0,154.0,81.96428571428571
2016,11,Pado-Ri,,,
2016,11,Seolseong-Myeon,,,
2016,12,Bangsan-Myeon,,,
2016,12,Geumchon-Dong,51.0,160.0,88.25806451612904
2016,12,Gwanak-Gu,60.0,143.0,91.83870967741936
2016,12,Jeongnim-Dong,29.0,136.0,65.87096774193549
2016,12,Jungang-Way,33.0,155.0,99.41935483870968
