,,, co, co, co
,,,min,max,mean
date,date,City,,,
2016,1,Jeongnim-Dong,3.0,10.0,6.0
2016,1,Jungang-Way,5.0,13.0,8.931034482758621
2016,1,Juwol-Dong,4.0,15.0,6.862068965517241
2016,1,Nowon-Gu,4.0,12.0,6.931034482758621
2016,1,Pado-Ri,2.0,7.0,4.25
2016,1,Seolseong-Myeon,2.0,10.0,5.482758620689655
2016,2,Bangsan-Myeon,2.0,7.0,4.0344827586206895
2016,2,Geumchon-Dong,4.0,11.0,7.137931034482759
2016,2,Gwanak-Gu,4.0,11.0,7.103448275862069
2016,2,Jeongnim-Dong,3.0,12.0,5.620689655172414
2016,2,Jungang-Way,4.0,20.0,8.310344827586206
2016,2,Juwol-Dong,3.0,10.0,6.448275862068965
2016,2,Nowon-Gu,4.0,13.0,7.206896551724138
2016,2,Pado-Ri,2.0,6.0,3.896551724137931
2016,2,Seolseong-Myeon,2.0,8.0,5.0
2016,3,Bangsan-Myeon,2.0,5.0,3.4
2016,3,Geumchon-Dong,4.0,9.0,7.0
2016,3,Gwanak-Gu,5.0,11.0,6.935483870967742
2016,3,Jeongnim-Dong,3.0,7.0,4.9
2016,3,Jungang-Way,3.0,8.0,5.774193548387097
2016,3,Juwol-Dong,3.0,8.0,5.516129032258065
2016,3,Nowon-Gu,2.0,10.0,6.580645161290323
2016,3,Pado-Ri,2.0,6.0,3.888888888888889
2016,3,Seolseong-Myeon,2.0,7.0,4.866666666666666
2016,4,Bangsan-Myeon,2.0,7.0,3.8
2016,4,Geumchon-Dong,4.0,8.0,5.366666666666666
2016,4,Gwanak-Gu,4.0,10.0,6.466666666666667
2016,4,Jeongnim-Dong,3.0,6.0,4.733333333333333
2016,4,Jungang-Way,1.0,6.0,3.6666666666666665
2016,4,Juwol-Dong,4.0,7.0,5.1
2016,4,Nowon-Gu,3.0,9.0,5.833333333333333
2016,4,Pado-Ri,2.0,5.0,3.357142857142857
2016,4,Seolseong-Myeon,3.0,10.0,4.413793103448276
2016,5,Bangsan-Myeon,2.0,7.0,3.5517241379310347
2016,5,Geumchon-Dong,4.0,7.0,5.064516129032258
2016,5,Gwanak-Gu,4.0,8.0,5.741935483870968
2016,5,Jeongnim-Dong,3.0,6.0,4.451612903225806
2016,5,Jungang-Way,2.0,6.0,3.4
2016,5,Juwol-Dong,2.0,6.0,4.387096774193548
2016,5,Nowon-Gu,3.0,7.0,5.064516129032258
2016,5,Pado-Ri,2.0,5.0,2.935483870967742
2016,5,Seolseong-Myeon,2.0,7.0,4.032258064516129
2016,6,Bangsan-Myeon,2.0,4.0,2.5833333333333335
2016,6,Geumchon-Dong,4.0,7.0,5.166666666666667
2016,6,Gwanak-Gu,3.0,7.0,4.833333333333333
2016,6,Jeongnim-Dong,3.0,5.0,3.892857142857143
2016,6,Jungang-Way,1.0,4.0,2.5185185185185186
2016,6,Juwol-Dong,1.0,6.0,3.5
2016,6,Nowon-Gu,4.0,6.0,4.433333333333334
2016,6,Pado-Ri,1.0,4.0,2.1666666666666665
2016,6,Seolseong-Myeon,2.0,6.0,3.7333333333333334
2016,7,Bangsan-Myeon,2.0,4.0,2.4782608695652173
2016,7,Geumchon-Dong,4.0,7.0,5.354838709677419
2016,7,Gwanak-Gu,3.0,7.0,4.290322580645161
2016,7,Jeongnim-Dong,2.0,5.0,3.838709677419355
2016,7,Jungang-Way,1.0,6.0,3.5161290322580645
2016,7,Juwol-Dong,1.0,5.0,2.870967741935484
2016,7,Nowon-Gu,3.0,6.0,4.096774193548387
2016,7,Pado-Ri,1.0,4.0,2.1153846153846154
2016,7,Seolseong-Myeon,1.0,5.0,2.5357142857142856
2016,8,Bangsan-Myeon,1.0,4.0,2.5652173913043477
2016,8,Geumchon-Dong,1.0,7.0,5.384615384615385
2016,8,Gwanak-Gu,2.0,7.0,4.129032258064516
2016,8,Jeongnim-Dong,3.0,6.0,4.225806451612903
2016,8,Jungang-Way,3.0,6.0,4.4
2016,8,Juwol-Dong,2.0,6.0,3.6774193548387095
2016,8,Nowon-Gu,3.0,6.0,4.0
2016,8,Pado-Ri,1.0,6.0,3.074074074074074
2016,8,Seolseong-Myeon,1.0,5.0,2.3333333333333335
