,,, no2, no2, no2
,,,min,max,mean
date,date,City,,,
2015,7,Gwanak-Gu,11.0,44.0,23.258064516129032
2015,7,Jeongnim-Dong,8.0,17.0,12.32258064516129
2015,7,Jungang-Way,4.0,13.0,8.387096774193548
2015,7,Juwol-Dong,6.0,25.0,15.096774193548388
2015,7,Nowon-Gu,6.0,34.0,17.612903225806452
2015,7,Pado-Ri,1.0,13.0,4.967741935483871
2015,7,Seolseong-Myeon,3.0,11.0,6.483870967741935
2015,8,Bangsan-Myeon,2.0,9.0,4.096774193548387
2015,8,Geumchon-Dong,9.0,24.0,14.516129032258064
2015,8,Gwanak-Gu,12.0,42.0,24.677419354838708
2015,8,Jeongnim-Dong,9.0,24.0,14.0
2015,8,Jungang-Way,5.0,15.0,9.35483870967742
2015,8,Juwol-Dong,6.0,26.0,16.387096774193548
2015,8,Nowon-Gu,3.0,33.0,18.2
2015,8,Pado-Ri,1.0,9.0,4.774193548387097
2015,8,Seolseong-Myeon,5.0,15.0,7.967741935483871
2015,9,Bangsan-Myeon,3.0,6.0,4.133333333333334
2015,9,Geumchon-Dong,6.0,30.0,16.666666666666668
2015,9,Gwanak-Gu,12.0,48.0,28.066666666666666
2015,9,Jeongnim-Dong,7.0,21.0,14.130434782608695
2015,9,Jungang-Way,5.0,13.0,8.966666666666667
2015,9,Juwol-Dong,7.0,29.0,21.31578947368421
2015,9,Nowon-Gu,9.0,45.0,22.0
2015,9,Pado-Ri,1.0,13.0,3.9285714285714284
2015,9,Seolseong-Myeon,4.0,15.0,7.8
2015,10,Bangsan-Myeon,3.0,11.0,5.67741935483871
2015,10,Geumchon-Dong,12.0,34.0,22.096774193548388
2015,10,Gwanak-Gu,15.0,74.0,36.70967741935484
2015,10,Jeongnim-Dong,7.0,33.0,19.516129032258064
2015,10,Jungang-Way,7.0,30.0,17.225806451612904
2015,10,Juwol-Dong,18.0,46.0,33.94117647058823
2015,10,Nowon-Gu,11.0,53.0,30.06451612903226
2015,10,Pado-Ri,1.0,7.0,2.9
2015,10,Seolseong-Myeon,6.0,19.0,10.35483870967742
2015,11,Bangsan-Myeon,2.0,9.0,5.5
2015,11,Geumchon-Dong,9.0,46.0,22.344827586206897
2015,11,Gwanak-Gu,17.0,72.0,37.266666666666666
2015,11,Jeongnim-Dong,11.0,29.0,18.966666666666665
2015,11,Jungang-Way,8.0,36.0,17.466666666666665
2015,11,Juwol-Dong,22.0,58.0,33.5
2015,11,Nowon-Gu,10.0,63.0,26.9
2015,11,Pado-Ri,1.0,26.0,7.037037037037037
2015,11,Seolseong-Myeon,3.0,23.0,13.766666666666667
2015,12,Bangsan-Myeon,3.0,18.0,8.0
2015,12,Geumchon-Dong,14.0,47.0,29.85185185185185
2015,12,Gwanak-Gu,14.0,74.0,38.37931034482759
2015,12,Jeongnim-Dong,10.0,37.0,24.77777777777778
2015,12,Jungang-Way,8.0,39.0,21.77777777777778
2015,12,Juwol-Dong,15.0,51.0,36.148148148148145
2015,12,Nowon-Gu,11.0,60.0,34.827586206896555
2015,12,Pado-Ri,2.0,32.0,10.333333333333334
2015,12,Seolseong-Myeon,4.0,54.0,21.40740740740741
2016,1,Bangsan-Myeon,3.0,22.0,7.931034482758621
2016,1,Geumchon-Dong,14.0,46.0,28.379310344827587
2016,1,Gwanak-Gu,17.0,63.0,38.206896551724135
2016,1,Jeongnim-Dong,10.0,38.0,22.464285714285715
2016,1,Jungang-Way,7.0,31.0,20.24137931034483
2016,1,Juwol-Dong,13.0,64.0,30.517241379310345
2016,1,Nowon-Gu,10.0,49.0,29.0
2016,1,Pado-Ri,2.0,27.0,6.607142857142857
2016,1,Seolseong-Myeon,10.0,33.0,18.862068965517242
2016,2,Bangsan-Myeon,2.0,16.0,6.724137931034483
2016,2,Geumchon-Dong,12.0,53.0,29.24137931034483
2016,2,Gwanak-Gu,15.0,56.0,34.275862068965516
2016,2,Jeongnim-Dong,8.0,38.0,19.448275862068964
2016,2,Jungang-Way,6.0,33.0,18.20689655172414
2016,2,Juwol-Dong,8.0,53.0,25.93103448275862
2016,2,Nowon-Gu,10.0,55.0,30.137931034482758
2016,2,Pado-Ri,1.0,15.0,5.103448275862069
2016,2,Seolseong-Myeon,5.0,21.0,12.344827586206897
2016,3,Bangsan-Myeon,1.0,14.0,6.032258064516129
2016,3,Geumchon-Dong,15.0,47.0,30.225806451612904
2016,3,Gwanak-Gu,13.0,64.0,34.1
2016,3,Jeongnim-Dong,11.0,33.0,18.903225806451612
2016,3,Jungang-Way,7.0,30.0,18.032258064516128
2016,3,Juwol-Dong,10.0,42.0,26.70967741935484
2016,3,Nowon-Gu,10.0,62.0,34.354838709677416
2016,3,Pado-Ri,1.0,22.0,7.366666666666666
2016,3,Seolseong-Myeon,5.0,22.0,12.67741935483871
2016,4,Bangsan-Myeon,4.0,11.0,6.966666666666667
2016,4,Geumchon-Dong,10.0,43.0,24.433333333333334
2016,4,Gwanak-Gu,12.0,55.0,34.2
2016,4,Jeongnim-Dong,8.0,31.0,18.733333333333334
2016,4,Jungang-Way,3.0,22.0,10.9
2016,4,Juwol-Dong,9.0,39.0,22.4
2016,4,Nowon-Gu,11.0,50.0,28.6
2016,4,Pado-Ri,2.0,22.0,8.433333333333334
2016,4,Seolseong-Myeon,5.0,19.0,10.931034482758621
2016,5,Bangsan-Myeon,5.0,11.0,7.0
2016,5,Geumchon-Dong,9.0,27.0,18.451612903225808
2016,5,Gwanak-Gu,11.0,51.0,30.032258064516128
2016,5,Jeongnim-Dong,8.0,24.0,13.838709677419354
2016,5,Jungang-Way,5.0,13.0,9.290322580645162
2016,5,Juwol-Dong,6.0,31.0,19.258064516129032
2016,5,Nowon-Gu,9.0,35.0,23.451612903225808
2016,5,Pado-Ri,2.0,15.0,7.387096774193548
2016,5,Seolseong-Myeon,4.0,14.0,8.935483870967742
2016,6,Bangsan-Myeon,4.0,22.0,7.466666666666667
2016,6,Geumchon-Dong,7.0,29.0,16.733333333333334
2016,6,Gwanak-Gu,13.0,43.0,24.8
2016,6,Jeongnim-Dong,7.0,20.0,10.966666666666667
2016,6,Jungang-Way,6.0,16.0,10.233333333333333
2016,6,Juwol-Dong,6.0,19.0,12.933333333333334
2016,6,Nowon-Gu,12.0,33.0,21.2
2016,6,Pado-Ri,1.0,11.0,4.793103448275862
2016,6,Seolseong-Myeon,5.0,24.0,8.566666666666666
2016,7,Bangsan-Myeon,1.0,15.0,5.387096774193548
2016,7,Geumchon-Dong,7.0,23.0,14.870967741935484
2016,7,Gwanak-Gu,11.0,40.0,23.225806451612904
2016,7,Jeongnim-Dong,4.0,17.0,9.451612903225806
2016,7,Jungang-Way,5.0,13.0,8.129032258064516
2016,7,Juwol-Dong,4.0,19.0,11.290322580645162
2016,7,Nowon-Gu,7.0,32.0,17.806451612903224
2016,7,Pado-Ri,1.0,11.0,4.354838709677419
2016,7,Seolseong-Myeon,1.0,11.0,5.193548387096774
2016,8,Bangsan-Myeon,1.0,4.0,1.6451612903225807
2016,8,Geumchon-Dong,6.0,29.0,14.692307692307692
2016,8,Gwanak-Gu,12.0,48.0,26.35483870967742
2016,8,Jeongnim-Dong,7.0,17.0,11.451612903225806
