,,, so2, so2, so2
,,,min,max,mean
date,date,City,,,
2015,5,Bangsan-Myeon,1.0,4.0,1.5555555555555556
2015,5,Geumchon-Dong,2.0,9.0,4.758620689655173
2015,5,Gwanak-Gu,5.0,12.0,8.612903225806452
2015,5,Jeongnim-Dong,2.0,7.0,4.354838709677419
2015,5,Jungang-Way,2.0,8.0,4.821428571428571
2015,5,Juwol-Dong,3.0,7.0,4.0
2015,5,Nowon-Gu,7.0,11.0,8.516129032258064
2015,5,Pado-Ri,1.0,8.0,3.096774193548387
2015,5,Seolseong-Myeon,2.0,8.0,3.967741935483871
2015,6,Bangsan-Myeon,1.0,2.0,1.1538461538461537
2015,6,Geumchon-Dong,3.0,7.0,4.285714285714286
2015,6,Gwanak-Gu,2.0,9.0,6.266666666666667
2015,6,Jeongnim-Dong,2.0,6.0,3.6666666666666665
2015,6,Jungang-Way,3.0,6.0,3.9655172413793105
2015,6,Juwol-Dong,3.0,9.0,3.8
2015,6,Nowon-Gu,6.0,9.0,7.666666666666667
2015,6,Pado-Ri,1.0,13.0,3.5517241379310347
2015,6,Seolseong-Myeon,1.0,5.0,2.642857142857143
2015,7,Bangsan-Myeon,1.0,1.0,1.0
2015,7,Geumchon-Dong,3.0,6.0,4.0
2015,7,Gwanak-Gu,2.0,8.0,4.827586206896552
2015,7,Jeongnim-Dong,1.0,4.0,2.5714285714285716
2015,7,Jungang-Way,1.0,5.0,2.8846153846153846
2015,7,Juwol-Dong,1.0,5.0,3.2580645161290325
2015,7,Nowon-Gu,6.0,8.0,7.064516129032258
2015,7,Pado-Ri,1.0,6.0,2.5357142857142856
2015,7,Seolseong-Myeon,1.0,4.0,2.210526315789474
2015,8,Bangsan-Myeon,1.0,1.0,1.0
2015,8,Geumchon-Dong,2.0,8.0,4.0
2015,8,Gwanak-Gu,2.0,8.0,5.2
2015,8,Jeongnim-Dong,2.0,6.0,3.1666666666666665
2015,8,Jungang-Way,3.0,4.0,3.076923076923077
2015,8,Juwol-Dong,2.0,6.0,2.6451612903225805
2015,8,Nowon-Gu,7.0,8.0,7.433333333333334
2015,8,Pado-Ri,1.0,5.0,1.9230769230769231
2015,8,Seolseong-Myeon,1.0,3.0,1.8571428571428572
2015,9,Bangsan-Myeon,,,
2015,9,Geumchon-Dong,3.0,6.0,4.178571428571429
2015,9,Gwanak-Gu,2.0,6.0,4.241379310344827
2015,9,Jeongnim-Dong,1.0,3.0,1.9375
2015,9,Jungang-Way,3.0,5.0,3.6666666666666665
2015,9,Juwol-Dong,2.0,7.0,4.0
2015,9,Nowon-Gu,6.0,8.0,6.642857142857143
2015,9,Pado-Ri,1.0,3.0,1.7083333333333333
2015,9,Seolseong-Myeon,1.0,2.0,1.75
2015,10,Bangsan-Myeon,1.0,3.0,1.8125
2015,10,Geumchon-Dong,3.0,7.0,5.161290322580645
2015,10,Gwanak-Gu,3.0,9.0,5.633333333333334
2015,10,Jeongnim-Dong,1.0,4.0,2.413793103448276
2015,10,Jungang-Way,3.0,6.0,4.3
2015,10,Juwol-Dong,1.0,5.0,2.769230769230769
2015,10,Nowon-Gu,7.0,10.0,8.0
2015,10,Pado-Ri,1.0,5.0,2.4074074074074074
2015,10,Seolseong-Myeon,1.0,3.0,1.2222222222222223
2015,11,Bangsan-Myeon,1.0,2.0,1.8
2015,11,Geumchon-Dong,4.0,11.0,6.555555555555555
2015,11,Gwanak-Gu,3.0,10.0,5.0
2015,11,Jeongnim-Dong,1.0,6.0,3.1481481481481484
2015,11,Jungang-Way,3.0,8.0,4.866666666666666
2015,11,Juwol-Dong,1.0,7.0,2.5925925925925926
2015,11,Nowon-Gu,6.0,13.0,8.266666666666667
2015,11,Pado-Ri,1.0,8.0,3.5
2015,11,Seolseong-Myeon,1.0,2.0,1.25
2015,12,Bangsan-Myeon,1.0,4.0,2.1739130434782608
2015,12,Geumchon-Dong,5.0,12.0,8.481481481481481
2015,12,Gwanak-Gu,4.0,11.0,6.655172413793103
2015,12,Jeongnim-Dong,2.0,6.0,3.7777777777777777
2015,12,Jungang-Way,5.0,12.0,7.925925925925926
2015,12,Juwol-Dong,1.0,6.0,3.4615384615384617
2015,12,Nowon-Gu,7.0,13.0,10.172413793103448
2015,12,Pado-Ri,1.0,10.0,4.230769230769231
2015,12,Seolseong-Myeon,1.0,4.0,1.4615384615384615
2016,1,Bangsan-Myeon,1.0,4.0,1.8275862068965518
2016,1,Geumchon-Dong,6.0,17.0,9.862068965517242
2016,1,Gwanak-Gu,6.0,11.0,7.379310344827586
2016,1,Jeongnim-Dong,2.0,8.0,4.571428571428571
2016,1,Jungang-Way,6.0,13.0,8.448275862068966
2016,1,Juwol-Dong,2.0,7.0,3.857142857142857
2016,1,Nowon-Gu,7.0,13.0,9.758620689655173
2016,1,Pado-Ri,2.0,12.0,3.9310344827586206
2016,1,Seolseong-Myeon,2.0,5.0,2.6206896551724137
2016,2,Bangsan-Myeon,1.0,3.0,1.9310344827586208
2016,2,Geumchon-Dong,3.0,12.0,7.827586206896552
2016,2,Gwanak-Gu,5.0,11.0,8.310344827586206
2016,2,Jeongnim-Dong,2.0,5.0,3.5517241379310347
2016,2,Jungang-Way,4.0,13.0,7.689655172413793
2016,2,Juwol-Dong,2.0,8.0,4.214285714285714
2016,2,Nowon-Gu,7.0,15.0,10.03448275862069
2016,2,Pado-Ri,2.0,6.0,3.2857142857142856
2016,2,Seolseong-Myeon,1.0,4.0,2.7142857142857144
2016,3,Bangsan-Myeon,1.0,4.0,1.4814814814814814
2016,3,Geumchon-Dong,3.0,11.0,6.935483870967742
2016,3,Gwanak-Gu,4.0,12.0,8.129032258064516
2016,3,Jeongnim-Dong,2.0,6.0,3.7096774193548385
2016,3,Jungang-Way,3.0,8.0,5.741935483870968
2016,3,Juwol-Dong,2.0,8.0,4.258064516129032
2016,3,Nowon-Gu,8.0,12.0,9.516129032258064
